"","MMRF","Gamer1","Gamer2","Gamer3"
"TPTEP1",1,0,0,0
"HCAR2",1,0,0,0
"HCAR3",1,0,0,0
"LPIN1",1,0,0,0
"DUSP8",1,0,0,0
"IFITM10",1,0,0,0
"RBM33",1,0,0,0
"NUPR1",1,0,0,0
"TAMALIN",1,0,0,0
"SHH",1,0,0,0
"BEAN1-AS1",1,0,0,0
"NR4A1",1,1,0,0
"NR4A1AS",1,0,0,0
"RPL13A",1,0,0,0
"UBALD2",1,0,0,0
"KDM6B",1,1,0,0
"ALMS1-IT1",1,0,0,0
"FAM20A",1,0,0,0
"HLA-DRA",1,1,0,0
"JUNB",1,1,0,0
"SCNN1A",1,0,0,0
"NOTCH3",1,0,1,0
"GATA1",1,0,0,0
"EPHX3",1,0,0,0
"TAPBPL",1,0,0,0
"TCF7L2",1,1,0,0
"KCTD11",1,0,0,0
"RNU4ATAC",1,0,0,0
"SMIM5",1,0,0,0
"RPL7AP31",1,0,0,0
"SERPING1",1,0,0,0
"LARGE1-AS1",1,0,0,0
"CXCL2",1,0,1,0
"RGPD5",1,0,0,0
"PFDN5",1,1,1,0
"CXCL9",1,0,0,0
"CXCL10",1,1,0,0
"TYROBP",1,0,0,0
"SH3TC1",1,0,0,0
"C19orf67",1,0,0,0
"USH2A",1,0,0,0
"TCAF2",1,0,0,0
"PCDHGA9",1,0,0,0
"PCDHGA10",1,0,0,0
"PCDHGB7",1,1,0,0
"TRABD-AS1",1,0,0,0
"PCDHGA11",1,0,0,0
"PCDHGB9P",1,0,0,0
"PCDHGC3",1,0,0,0
"PCDHGC4",1,0,0,0
"ZBTB43",1,0,0,0
"PCDHGC5",1,0,0,0
"GIMAP8",1,0,0,0
"PCDHGB5",1,0,0,0
"FAM221A",1,0,0,0
"PAM",1,0,0,0
"SLC25A27",1,0,0,0
"TECTA",1,1,0,0
"PLA2G7",1,1,0,0
"FN3K",1,0,0,0
"ACSM5",1,0,0,0
"KLHDC1",1,0,0,0
"DIRAS1",1,0,0,0
"KLHL5",1,0,0,0
"MS4A4A",1,0,0,0
"RN7SL2",1,0,0,1
"CFL2",1,1,0,0
"TBC1D22A-DT",1,0,0,0
"ZNF555",1,0,0,0
"OVOL1",1,0,0,1
"ATG4D",1,0,0,0
